pref_name,station_name,line_name,station_lat,station_lon,passenger_2017,passenger_2018,passenger_2019
神奈川県,吉野町,横浜市営地下鉄ブルーライン,35.435416,139.618897,15403,15707,16066
神奈川県,向ケ丘遊園,小田急小田原線,35.617536,139.564838,0,0,0
東京都,向原,都電荒川線,35.729054,139.725125,1460,1460,1460
神奈川県,向河原,ＪＲ南武線(川崎－立川),35.572903,139.667276,25152,25626,25626
千葉県,君ケ浜,銚子電鉄,35.713964,140.860475,0,0,0
千葉県,君津,ＪＲ内房線,35.333627,139.895185,16552,16502,16502
埼玉県,吹上,ＪＲ高崎線,36.103232,139.453158,18412,18062,18062
埼玉県,吾野,西武秩父線,35.908471,139.226713,676,664,617
埼玉県,和光市,東京メトロ副都心線,35.788434,139.612354,176577,179724,180819
埼玉県,和戸,東武伊勢崎線(東武動物公園－伊勢崎),36.040242,139.700612,4073,4170,4102
東京都,和泉多摩川,小田急小田原線,35.627257,139.573642,15934,15831,15751
神奈川県,和田塚,江ノ島電鉄,35.313595,139.545325,1340,1375,1275
神奈川県,和田河原,伊豆箱根鉄道大雄山線,35.316004,139.118111,3162,3190,3065
千葉県,和田浦,ＪＲ内房線,35.041827,140.019549,0,0,0
神奈川県,和田町,相鉄本線,35.463803,139.586593,18116,18231,18017
埼玉県,和銅黒谷,秩父鉄道,36.046787,139.101578,418,427,423
東京都,品川,ＪＲ東海道本線(東京－熱海),35.62851,139.73874,1028462,1055080,1131514
東京都,品川シーサイド,東京臨海高速鉄道りんかい線,35.609623,139.749851,46200,47000,48462
東京都,唐木田,小田急多摩線,35.615838,139.411129,19277,17544,17207
神奈川県,善行,小田急江ノ島線,35.362783,139.473246,26968,27070,27011
東京都,喜多見,小田急小田原線,35.636673,139.587112,34306,34418,34207
東京都,四ツ木,京成押上線,35.731889,139.834977,15737,16553,16982
東京都,四ツ谷,ＪＲ中央本線(東京－塩尻),35.686004,139.730654,316176,324244,324670
千葉県,四街道,ＪＲ総武本線,35.662985,140.165591,44264,44524,44524
東京都,四谷三丁目,東京メトロ丸ノ内線(池袋－荻窪),35.687809,139.719683,46732,47091,47014
東京都,国会議事堂前,東京メトロ丸ノ内線(池袋－荻窪),35.674338,139.744848,41233,44039,43239
東京都,国分寺,西武多摩湖線,35.700247,139.480257,342600,346857,344532
千葉県,国吉,いすみ鉄道,35.280418,140.313958,140,132,95
千葉県,国府台,京成本線,35.73639,139.90297,12710,13131,13201
神奈川県,国府津,ＪＲ御殿場線,35.280815,139.212938,12134,12000,12000
東京都,国立,ＪＲ中央線快速,35.699135,139.4464,107424,108098,108098
東京都,国立競技場,都営地下鉄大江戸線,35.679893,139.714295,10366,10307,10764
神奈川県,国道,ＪＲ鶴見線(鶴見－扇町),35.500745,139.675695,0,0,0
東京都,国際展示場,東京臨海高速鉄道りんかい線,35.635065,139.79229,69100,67500,59392
東京都,国際展示場正門,ゆりかもめ,35.630177,139.791513,0,0,0
東京都,国領,京王線,35.650253,139.558615,39097,39159,38713
埼玉県,土呂,ＪＲ宇都宮線,35.931725,139.632207,30380,31542,31542
千葉県,土気,ＪＲ外房線,35.530862,140.269728,27106,26670,26670
東京都,地下鉄成増,東京メトロ副都心線,35.776548,139.631547,52212,53402,53700
東京都,地下鉄赤塚,東京メトロ有楽町線,35.76977,139.644101,38051,39634,40635
千葉県,地区センター,山万ユーカリが丘線(ユーカリが丘－女子大),35.72595,140.1552,260,258,265
埼玉県,坂戸,東武越生線,35.95708,139.393947,28748,29391,29107
千葉県,城見ケ丘,いすみ鉄道,35.29161,140.252324,0,0,0
神奈川県,堀ノ内,京急本線,35.263131,139.686927,12395,12312,12254
東京都,堀切,東武スカイツリーライン(浅草－東武動物公園),35.742943,139.817756,4406,4469,4498
東京都,堀切菖蒲園,京成本線,35.747637,139.827532,22019,22639,22589
神奈川県,塔ノ沢,箱根登山鉄道(箱根湯本－強羅),35.234485,139.093977,110,111,88
神奈川県,塚原,伊豆箱根鉄道大雄山線,35.301255,139.126861,2333,2327,2240
千葉県,塚田,東武アーバンパークライン(柏－船橋),35.722003,139.982825,15821,16182,16203
千葉県,増尾,東武アーバンパークライン(柏－船橋),35.829575,139.976766,13386,13350,13089
千葉県,外川,銚子電鉄,35.699243,140.857337,104,132,145
東京都,外苑前,東京メトロ銀座線,35.670311,139.717656,82616,82897,82336
東京都,多摩センター,多摩モノレール,35.623783,139.422933,18342,18550,37449
東京都,多摩動物公園,多摩モノレール,35.649057,139.404516,7845,7781,8381
東京都,多摩境,京王相模原線,35.601839,139.366966,20487,20587,20530
東京都,多摩川,東急多摩川線,35.589763,139.668858,22856,22368,17935
東京都,多磨,西武多摩川線,35.677251,139.5172,13903,13971,13757
東京都,多磨霊園,京王線,35.666084,139.503118,12818,13084,13046
東京都,大久保,ＪＲ中央・総武線各駅停車,35.700724,139.697378,52840,56700,56700
東京都,大井町,東急大井町線,35.607123,139.734574,437329,444975,443295
東京都,大井競馬場前,東京モノレール羽田空港線,35.595041,139.747101,10975,11075,11361
千葉県,大佐倉,京成本線,35.730118,140.251081,371,401,402
神奈川県,大倉山,東急東横線,35.521992,139.629865,55635,55734,55464
千葉県,大原,ＪＲ外房線,35.251062,140.390925,3581,3407,3365
神奈川県,大口,ＪＲ横浜線,35.492134,139.646142,36822,37634,37634
神奈川県,大和,相鉄本線,35.469688,139.461409,231729,233247,234796
埼玉県,大和田,東武アーバンパークライン(大宮－柏),35.929337,139.6504,19883,20038,20003
東京都,大塚,ＪＲ山手線,35.731775,139.728124,113406,117852,117852
東京都,大塚・帝京大学,多摩モノレール,35.636837,139.416544,3863,3860,7475
東京都,大塚駅前,都電荒川線,35.731637,139.729347,7990,7990,7990
千葉県,大多喜,いすみ鉄道,35.286499,140.243852,250,253,226
埼玉県,大宮公園,東武アーバンパークライン(大宮－柏),35.923504,139.632179,10132,9970,9772
東京都,大山,東武東上線,35.74844,139.702681,51813,52407,52049
東京都,大岡山,東急目黒線,35.607511,139.685633,51332,51937,51126
東京都,大島,都営地下鉄新宿線,35.689894,139.835673,33113,34348,34111
東京都,大崎,ＪＲ湘南新宿ライン,35.619899,139.728185,321640,346272,346272
東京都,大崎広小路,東急池上線,35.622677,139.722741,8421,8537,8633
神奈川県,大川,ＪＲ鶴見線(安善－大川),35.495523,139.711109,0,0,0
東京都,大師前,東武大師線,35.778855,139.781507,14170,14112,13982
神奈川県,大平台,箱根登山鉄道(箱根湯本－強羅),35.238622,139.073952,325,308,219
千葉県,大戸,ＪＲ成田線(千葉－銚子),35.890272,140.45839,0,0,0
東京都,大手町,東京メトロ千代田線(綾瀬－代々木上原),35.685726,139.764291,443410,464380,476682
東京都,大森,ＪＲ京浜東北線,35.588375,139.727936,190378,193944,193944
千葉県,大森台,京成千原線,35.584133,140.149402,2824,2855,2936
東京都,大森海岸,京急本線,35.587681,139.735464,14642,16185,16501
東京都,大森町,京急本線,35.572571,139.732103,21415,22276,22573
東京都,大泉学園,西武池袋線(池袋－飯能),35.749522,139.586552,87981,88104,87359
神奈川県,大涌谷,箱根ロープウェイ,35.244315,139.019984,0,0,0
千葉県,大町,北総鉄道北総線,35.774887,139.972852,1683,1691,1704
神奈川県,大磯,ＪＲ東海道本線(東京－熱海),35.311202,139.313512,16102,16472,16472
千葉県,大神宮下,京成本線,35.694006,139.99141,4789,4910,5071
千葉県,大網,ＪＲ東金線,35.522725,140.311085,21202,20638,20638
神奈川県,大船,ＪＲ根岸線,35.353813,139.531241,225511,228326,227526
埼玉県,大袋,東武スカイツリーライン(浅草－東武動物公園),35.924145,139.777972,18424,18591,18687
千葉県,大貫,ＪＲ内房線,35.290992,139.855634,2254,2092,2092
埼玉県,大野原,秩父鉄道,36.018678,139.093997,1168,1127,1088
東京都,大門,都営地下鉄大江戸線,35.656645,139.754626,241127,247661,251030
神奈川県,大雄山,伊豆箱根鉄道大雄山線,35.319114,139.10364,5135,5132,4986
東京都,大鳥居,京急空港線,35.552407,139.739993,30551,30345,28927
埼玉県,大麻生,秩父鉄道,36.144614,139.331861,283,233,237
千葉県,天台,千葉都市モノレール２号線,35.631627,140.112792,3914,4355,4379
千葉県,天王台,ＪＲ常磐線快速,35.872544,140.040926,38902,39004,39004
東京都,天王洲アイル,東京モノレール羽田空港線,35.621844,139.750961,70403,74845,76333
神奈川県,天王町,相鉄本線,35.453943,139.60262,27081,27303,27313
東京都,天空橋,京急空港線,35.548184,139.754186,31253,33615,33849
千葉県,太東,ＪＲ外房線,35.319915,140.381089,1022,976,976
千葉県,太海,ＪＲ内房線,35.081824,140.096262,134,126,0
東京都,奥多摩,ＪＲ青梅線,35.809174,139.096701,1858,1868,1868
東京都,奥沢,東急目黒線,35.603844,139.671968,14198,14312,14010
千葉県,女子大,山万ユーカリが丘線(ユーカリが丘－女子大),35.738116,140.1552,244,293,282
千葉県,妙典,東京メトロ東西線,35.691006,139.924277,51537,52953,53009
神奈川県,妙蓮寺,東急東横線,35.498465,139.633171,25680,26089,26102
千葉県,姉ケ崎,ＪＲ内房線,35.478614,140.041749,0,0,0
神奈川県,姥子,箱根ロープウェイ,35.244537,139.005984,0,0,0
埼玉県,姫宮,東武スカイツリーライン(浅草－東武動物公園),36.004081,139.738833,5467,5411,5215
神奈川県,子安,京急本線,35.48494,139.645642,7740,7852,7775
千葉県,学園前,京成千原線,35.560802,140.158457,4976,5204,5418
東京都,学習院下,都電荒川線,35.716278,139.712349,1716,1716,1716
東京都,学芸大学,東急東横線,35.628842,139.685299,77864,78251,77850
神奈川県,安善,ＪＲ鶴見線(安善－大川),35.499661,139.701249,0,0,0
千葉県,安房勝山,ＪＲ内房線,35.113705,139.833339,662,574,574
千葉県,安房天津,ＪＲ外房線,35.125459,140.154505,266,264,0
千葉県,安房小湊,ＪＲ外房線,35.128571,140.190364,406,384,384
千葉県,安房鴨川,ＪＲ外房線,35.107571,140.103816,2688,2670,2670
神奈川県,安針塚,京急本線,35.286739,139.642957,4872,4807,4671
千葉県,安食,ＪＲ成田線(我孫子－成田),35.83569,140.242077,5522,5064,5064
千葉県,宗吾参道,京成本線,35.752644,140.281022,2628,2721,2757
東京都,宝町,都営地下鉄浅草線,35.675644,139.772068,30176,32242,32982
千葉県,実籾,京成本線,35.686925,140.068432,24514,24631,24299
東京都,宮の坂,東急世田谷線,35.647812,139.644968,4563,4812,4807
神奈川県,宮ノ下,箱根登山鉄道(箱根湯本－強羅),35.242012,139.062952,829,615,379
東京都,宮ノ前,都電荒川線,35.750164,139.765121,3101,3101,3101
東京都,宮ノ平,ＪＲ青梅線,35.787345,139.236885,0,0,0
神奈川県,宮前平,東急田園都市線,35.584928,139.581921,51787,52527,51907
埼玉県,宮原,ＪＲ高崎線,35.940252,139.609569,46848,48558,48558
神奈川県,宮山,ＪＲ相模線,35.38228,139.379725,0,0,0
神奈川県,宮崎台,東急田園都市線,35.587317,139.591365,50138,50499,50176
神奈川県,宿河原,ＪＲ南武線(川崎－立川),35.615286,139.579448,16050,16446,16446
埼玉県,寄居,秩父鉄道,36.117892,139.194512,7523,22428,7302
神奈川県,富士フイルム前,伊豆箱根鉄道大雄山線,35.317809,139.109444,1342,1343,1309
東京都,富士見ケ丘,京王井の頭線,35.684834,139.607081,0,0,0
東京都,富士見台,西武池袋線(池袋－飯能),35.735913,139.629994,27386,27884,27936
神奈川県,富士見町,湘南モノレール,35.345258,139.529298,4092,4397,4150
神奈川県,富水,小田急小田原線,35.296174,139.145553,6849,6808,6796
千葉県,富浦,ＪＲ内房線,35.045268,139.837813,458,406,406
神奈川県,寒川,ＪＲ相模線,35.367559,139.387474,13842,13876,13876
東京都,小伝馬町,東京メトロ日比谷線,35.690309,139.778789,39847,41304,41132
東京都,小作,ＪＲ青梅線,35.776291,139.301935,34134,32594,32594
千葉県,小倉台,千葉都市モノレール２号線,35.627739,140.171925,3038,3120,3120
埼玉県,小前田,秩父鉄道,36.128919,139.222398,1141,1097,1045
東京都,小台,都電荒川線,35.750442,139.761592,3186,3186,3186
